Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,cytokine-mediated signaling pathway (GO:0019221),7/621,2.9377403236275547e-05,0.0124038597065724,0,0,9.594391729216824,100.12020995213103,SERPINB2;IFI27;TNFRSF17;IRF8;HLA-DQA1;RHEX;OASL
GO_Biological_Process_2021,cellular response to type I interferon (GO:0071357),3/65,0.00012492821606665156,0.0124038597065724,0,0,35.67741935483871,320.66048420441507,IFI27;IRF8;OASL
GO_Biological_Process_2021,type I interferon signaling pathway (GO:0060337),3/65,0.00012492821606665156,0.0124038597065724,0,0,35.67741935483871,320.66048420441507,IFI27;IRF8;OASL
GO_Biological_Process_2021,modulation by host of viral process (GO:0044788),2/12,0.00014221789991262262,0.0124038597065724,0,0,142.57142857142858,1262.919124249693,IFI27;PTX3
GO_Biological_Process_2021,interferon-gamma-mediated signaling pathway (GO:0060333),3/68,0.00014290160952272447,0.0124038597065724,0,0,34.02564102564103,301.24105221590395,IRF8;HLA-DQA1;OASL
GO_Biological_Process_2021,regulation of platelet activation (GO:0010543),2/22,0.0004931459174352375,0.0356708880278155,0,0,71.25,542.5477632515199,THBD;TXK
GO_Biological_Process_2021,dendritic cell differentiation (GO:0097028),2/24,0.0005881163648560729,0.0364632146210765,0,0,64.76623376623377,481.769182294251,IRF8;DHRS2
GO_Biological_Process_2021,modulation of excitatory postsynaptic potential (GO:0098815),2/27,0.0007458431753894333,0.0375332522162845,0,0,56.98571428571429,410.3538550694941,APP;LRRK2
GO_Biological_Process_2021,cellular response to interferon-gamma (GO:0071346),3/121,0.0007783393316741039,0.0375332522162845,0,0,18.693032015065917,133.8112277765361,IRF8;HLA-DQA1;OASL
GO_Biological_Process_2021,regulation of developmental growth (GO:0048638),2/31,0.0009844083630700538,0.040426350735791,0,0,49.11576354679803,340.05150286391984,APP;AGR2
GO_Biological_Process_2021,innate immune response (GO:0045087),4/302,0.0010246310094324,0.040426350735791,0,0,10.155911202891067,69.90742993661075,APP;IFI27;CD300E;PTX3
