Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,regulation of B cell proliferation (GO:0030888),3/46,7.077521839806035e-05,0.0209743533942374,0,0,43.434593023255815,415.0610422134832,NFATC2;MNDA;TNFRSF4
GO_Biological_Process_2021,positive regulation of interleukin-1 beta production (GO:0032731),3/56,0.00012770255486576143,0.0209743533942374,0,0,35.221698113207545,315.7909400404789,IFNG;PYHIN1;MNDA
GO_Biological_Process_2021,negative regulation of nucleic acid-templated transcription (GO:1903507),6/464,0.00013839721251052465,0.0209743533942374,0,0,8.81207649450384,78.2986716458776,CDKN1C;TCF7L2;SALL1;IFNG;BHLHE40;TNFRSF4
GO_Biological_Process_2021,positive regulation of interleukin-1 production (GO:0032732),3/62,0.00017298435789061796,0.0209743533942374,0,0,31.63029661016949,273.9914151567277,IFNG;PYHIN1;MNDA
GO_Biological_Process_2021,positive regulation of lymphocyte proliferation (GO:0050671),3/75,0.00030408143644158826,0.0271951939903116,0,0,25.90234375,209.76274893490807,HLA-DPB1;NFATC2;TNFRSF4
GO_Biological_Process_2021,negative regulation of cellular macromolecule biosynthetic process (GO:2000113),6/547,0.0003364353895708659,0.0271951939903116,0,0,7.428389317356109,59.405605151274,CDKN1C;TCF7L2;SALL1;IFNG;BHLHE40;TNFRSF4
GO_Biological_Process_2021,regulation of interleukin-1 beta production (GO:0032651),3/83,0.0004098195541083547,0.0283946405346502,0,0,23.302734375,181.7565186054789,IFNG;PYHIN1;MNDA
GO_Biological_Process_2021,cellular response to interferon-beta (GO:0035458),2/20,0.0005541829397838258,0.0335973407243944,0,0,67.16161616161617,503.57885305588366,PYHIN1;MNDA
GO_Biological_Process_2021,receptor signaling pathway via STAT (GO:0097696),2/25,0.0008702354565116898,0.0445548660479264,0,0,52.54808959156785,370.2930791940912,IFNG;STAT4
GO_Biological_Process_2021,regulation of regulatory T cell differentiation (GO:0045589),2/26,0.0009417208306328502,0.0445548660479264,0,0,50.35606060606061,350.8710439635258,IFNG;NFATC2
GO_Biological_Process_2021,response to interferon-beta (GO:0035456),2/28,0.0010928921891777,0.0445548660479264,0,0,46.47785547785548,316.9291367208542,PYHIN1;MNDA
GO_Biological_Process_2021,"negative regulation of transcription, DNA-templated (GO:0045892)",7/948,0.0011023884382992,0.0445548660479264,0,0,5.054197662061637,34.42048177265395,CDKN1C;TCF7L2;SALL1;IFNG;BHLHE40;CRYM;TNFRSF4
