dataset,head_idx,basis_idx,GO_term,Adjusted_P_value,Combined_Score
bmmc,0,0,immune response-regulating cell surface receptor signaling pathway (GO:0002768),0.0471692997137247,1014.3901741044946
bmmc,1,0,mature conventional dendritic cell differentiation (GO:0097029),0.0108879002935799,5105.230681141124
bmmc,3,0,regulation of cellular localization (GO:0060341),0.0159053997276406,473.30707301492265
bmmc,3,0,regulation of membrane depolarization (GO:0003254),0.0486855493496288,714.6879621205851
bmmc,1,1,positive regulation of prostaglandin biosynthetic process (GO:0031394),0.0040764580028726,5105.230681141124
bmmc,1,1,positive regulation of unsaturated fatty acid biosynthetic process (GO:2001280),0.0040764580028726,2851.750942795132
bmmc,1,1,regulation of prostaglandin biosynthetic process (GO:0031392),0.0040764580028726,2851.750942795132
bmmc,1,1,prostanoid biosynthetic process (GO:0046457),0.0151732246522297,920.7238662710552
bmmc,1,1,positive chemotaxis (GO:0050918),0.0164124959822134,714.6879621205851
bmmc,3,1,regulation of immune response (GO:0050776),0.0364279441426918,154.20949207670594
bmmc,1,2,regulation of T-helper 1 cell cytokine production (GO:2000554),0.0039474060825329,5105.230681141124
bmmc,1,2,positive regulation of T-helper 1 cell cytokine production (GO:2000556),0.0039474060825329,5105.230681141124
bmmc,1,2,positive regulation of T-helper 1 type immune response (GO:0002827),0.0172557718560648,1262.919124249693
bmmc,1,2,regulation of neuroinflammatory response (GO:0150077),0.0326677181811346,663.3671793000248
bmmc,1,2,positive regulation of T cell cytokine production (GO:0002726),0.0326677181811346,578.2102706794014
bmmc,3,2,positive regulation of cellular carbohydrate metabolic process (GO:0010676),0.03599766776768,1126.5206724787724
bmmc,3,2,cellular response to interleukin-7 (GO:0098761),0.03599766776768,663.3671793000248
bmmc,3,2,interleukin-7-mediated signaling pathway (GO:0038111),0.03599766776768,663.3671793000248
bmmc,3,3,positive regulation of neutrophil chemotaxis (GO:0090023),0.0386390285062112,663.3671793000248
bmmc,3,3,positive regulation of neutrophil migration (GO:1902624),0.0386390285062112,542.5477632515199
bmmc,3,3,positive regulation of granulocyte chemotaxis (GO:0071624),0.0386390285062112,542.5477632515199
bmmc,3,3,regulation of neutrophil chemotaxis (GO:0090022),0.0386390285062112,455.6920507677008
bmmc,0,4,regulation of vascular associated smooth muscle cell proliferation (GO:1904705),0.0068583116110648,696.2013737482083
bmmc,0,4,negative regulation of smooth muscle cell migration (GO:0014912),0.0293584852989988,1014.3901741044946
