dataset,head_idx,basis_idx,GO_term,Adjusted_P_value,Combined_Score
covid,0,0,positive regulation of osteoblast proliferation (GO:0033690),0.0082883509935723,3684.499894523836
covid,0,0,regulation of osteoblast proliferation (GO:0033688),0.0371908399117599,773.4756743774749
covid,2,0,regulation of gap junction assembly (GO:1903596),0.0136133357454479,1927.3444106230904
covid,3,1,B cell activation (GO:0042113),0.0033976271643604,445.0188321799124
covid,3,1,lymphocyte chemotaxis (GO:0048247),0.0074125830710879,548.7162098920684
covid,3,1,positive regulation of MAPK cascade (GO:0043410),0.0074125830710879,145.03727646540162
covid,3,1,positive regulation of ERK1 and ERK2 cascade (GO:0070374),0.0134923457492345,163.4782568517394
covid,3,1,positive regulation of calcium ion import (GO:0090280),0.0149112221490562,1126.5206724787724
covid,1,2,chemical synaptic transmission (GO:0007268),0.0140571080671852,122.57658490846
covid,1,2,"synaptic transmission, GABAergic (GO:0051932)",0.0140571080671852,1432.0496756090347
covid,3,2,regulation of humoral immune response (GO:0002920),0.0185066156099232,414.1127253263179
covid,3,2,regulation of bile acid biosynthetic process (GO:0070857),0.0185066156099232,1646.7365311362207
covid,3,2,regulation of interferon-gamma production (GO:0032649),0.02778374511055,217.17528174058037
covid,3,2,regulation of steroid biosynthetic process (GO:0050810),0.02778374511055,773.4756743774749
covid,3,2,regulation of steroid metabolic process (GO:0019218),0.0411182200250279,510.5767014966948
covid,0,3,alcohol catabolic process (GO:0046164),0.0224201976767764,1432.0496756090347
covid,0,3,presynapse assembly (GO:0099054),0.030981713222491,714.6879621205851
covid,1,3,lymphocyte mediated immunity (GO:0002449),0.0340558429468386,1126.5206724787724
covid,1,3,bone morphogenesis (GO:0060349),0.0340558429468386,1014.3901741044946
covid,2,3,regulation of nervous system development (GO:0051960),0.0129113093622583,584.9150656046422
covid,2,3,positive regulation of humoral immune response (GO:0002922),0.0129113093622583,2851.750942795132
covid,2,3,positive regulation of T cell activation (GO:0050870),0.0256309043939524,262.9199107042494
covid,2,3,regulation of epithelial to mesenchymal transition (GO:0010717),0.0256309043939524,258.11616658083483
covid,2,3,positive regulation of heterotypic cell-cell adhesion (GO:0034116),0.0256309043939524,920.7238662710552
covid,3,3,negative regulation of steroid metabolic process (GO:0045939),0.0159572872751855,2851.750942795132
covid,1,4,renal absorption (GO:0070293),0.0360329087942159,1014.3901741044946
covid,1,4,regulation of fat cell differentiation (GO:0045598),0.0360329087942159,240.2992776641392
covid,1,4,positive regulation of cellular process (GO:0048522),0.0360329087942159,63.81204508407794
covid,1,4,positive regulation of peptidase activity (GO:0010952),0.0468488621563475,542.5477632515199
covid,1,4,positive regulation of cell population proliferation (GO:0008284),0.0485839784493098,61.16573726126351
covid,3,4,second-messenger-mediated signaling (GO:0019932),0.0488214458260885,206.9722118819376
covid,3,4,calcium-mediated signaling (GO:0019722),0.0488214458260885,170.75018181181642
covid,3,4,negative regulation of phosphate metabolic process (GO:0045936),0.0488214458260885,542.5477632515199
covid,0,5,induction of bacterial agglutination (GO:0043152),0.0054942422717088,3684.499894523836
covid,0,5,antibacterial humoral response (GO:0019731),0.0054942422717088,548.7162098920684
covid,0,5,positive regulation of peptide secretion (GO:0002793),0.0055231247881531,2308.188874209161
covid,0,5,plasminogen activation (GO:0031639),0.0055231247881531,1927.3444106230904
covid,0,5,fibrinolysis (GO:0042730),0.0104518494215838,920.7238662710552
covid,1,5,cellular protein catabolic process (GO:0044257),0.0054041237130708,358.15436396134345
covid,1,5,extracellular matrix disassembly (GO:0022617),0.0054041237130708,313.9569920205279
covid,1,5,cellular component disassembly (GO:0022411),0.0054041237130708,313.9569920205279
covid,1,5,proteolysis involved in cellular protein catabolic process (GO:0051603),0.0056953986154392,267.87616185965635
covid,1,5,regulation of epidermal cell differentiation (GO:0045604),0.0158388083794056,455.6920507677008
covid,3,5,xenobiotic glucuronidation (GO:0052697),0.0415188845866229,1432.0496756090347
covid,1,6,leukotriene B4 metabolic process (GO:0036102),0.0012507348942824,5105.230681141124
