dataset,head_idx,basis_idx,GO_term,Adjusted_P_value,Combined_Score
immune,2,0,regulation of cell migration (GO:0030334),0.0093634269700954,127.90895666658568
immune,2,0,regulation of endothelial cell apoptotic process (GO:2000351),0.0093634269700954,548.7162098920684
immune,2,0,regulation of clathrin-dependent endocytosis (GO:2000369),0.0234010492818839,920.7238662710552
immune,2,0,positive regulation of endothelial cell apoptotic process (GO:2000353),0.0234010492818839,841.4142385973647
immune,2,0,regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903587),0.0234010492818839,841.4142385973647
immune,0,1,positive regulation of smooth muscle cell migration (GO:0014911),0.0411936750190186,773.4756743774749
immune,0,1,positive regulation of neutrophil chemotaxis (GO:0090023),0.0411936750190186,663.3671793000248
immune,0,1,positive regulation of granulocyte chemotaxis (GO:0071624),0.0411936750190186,542.5477632515199
immune,0,1,positive regulation of neutrophil migration (GO:1902624),0.0411936750190186,542.5477632515199
immune,0,1,lymphocyte activation involved in immune response (GO:0002285),0.0411936750190186,481.769182294251
immune,1,1,regulation of T cell mediated immunity (GO:0002709),0.0384523592645218,1432.0496756090347
immune,1,1,regulation of angiogenesis (GO:0045765),0.0384523592645218,128.074529077769
immune,1,1,positive regulation of vasculature development (GO:1904018),0.0384523592645218,170.75018181181642
immune,1,1,oligosaccharide biosynthetic process (GO:0009312),0.0384523592645218,510.5767014966948
immune,1,1,carbohydrate biosynthetic process (GO:0016051),0.0384523592645218,481.769182294251
immune,2,1,positive regulation of cellular carbohydrate metabolic process (GO:0010676),0.0361726528276703,1126.5206724787724
immune,2,1,positive regulation of small molecule metabolic process (GO:0062013),0.0361726528276703,841.4142385973647
immune,2,1,positive regulation of nervous system process (GO:0031646),0.0361726528276703,714.6879621205851
immune,2,2,peripheral nervous system neuron differentiation (GO:0048934),0.0046642288924613,5105.230681141124
immune,2,2,peripheral nervous system neuron development (GO:0048935),0.0046642288924613,3684.499894523836
immune,2,2,"regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043370)",0.0136055124249742,1262.919124249693
immune,2,2,positive regulation of alpha-beta T cell differentiation (GO:0046638),0.0140431421346877,1014.3901741044946
immune,2,2,regulation of regulatory T cell differentiation (GO:0045589),0.0396771280766145,431.9867091057638
immune,0,3,purine ribonucleoside triphosphate metabolic process (GO:0009205),0.00027669442143130594,3240.322904242289
immune,0,3,GTP metabolic process (GO:0046039),0.00027669442143130594,2611.2652444082614
immune,0,3,purine ribonucleotide metabolic process (GO:0009150),0.0279186008281312,266.40281664889034
immune,2,3,positive regulation of mitotic cell cycle phase transition (GO:1901992),0.0326180021666542,375.2972809322434
immune,2,3,positive regulation of lymphocyte proliferation (GO:0050671),0.0350823182120176,262.9199107042494
immune,2,3,positive regulation of smooth muscle cell migration (GO:0014911),0.035683760124486,773.4756743774749
immune,2,3,microglial cell activation (GO:0001774),0.045246137924683,542.5477632515199
immune,2,3,positive regulation of G1/S transition of mitotic cell cycle (GO:1900087),0.0471809499324641,431.9867091057638
immune,0,4,regulation of actin cytoskeleton organization (GO:0032956),0.0039449508608374,404.6613613296326
immune,0,4,cardiac myofibril assembly (GO:0055003),0.0443351471251026,920.7238662710552
immune,1,4,Toll signaling pathway (GO:0008063),0.0072441408327802,5105.230681141124
immune,1,4,hemostasis (GO:0007599),0.0075922136038631,2851.750942795132
immune,3,4,cytokine-mediated signaling pathway (GO:0019221),0.0108696391974219,100.12020995213103
immune,3,4,cellular response to cytokine stimulus (GO:0071345),0.0127569640018538,98.10512952283489
immune,3,4,cellular response to reactive oxygen species (GO:0034614),0.0140361297508583,334.8202497519519
immune,1,5,negative regulation of B cell activation (GO:0050869),0.0006941819420331029,1433.8346311808384
immune,1,5,neutrophil degranulation (GO:0043312),0.0006941819420331029,151.3479295389596
immune,1,5,neutrophil activation involved in immune response (GO:0002283),0.0006941819420331029,149.37729778294536
immune,1,5,neutrophil mediated immunity (GO:0002446),0.0006941819420331029,147.9249237442521
immune,1,5,positive regulation of integrin activation (GO:0033625),0.0106762846079887,1432.0496756090347
immune,2,5,lipoprotein transport (GO:0042953),0.0239734683346431,1646.7365311362207
immune,2,5,lipoprotein localization (GO:0044872),0.0239734683346431,1432.0496756090347
immune,2,5,antigen receptor-mediated signaling pathway (GO:0050851),0.0239734683346431,146.92056436883243
immune,2,5,regulation of angiogenesis (GO:0045765),0.0247491873966958,128.074529077769
immune,2,5,B cell activation (GO:0042113),0.0247491873966958,220.7644346513235
immune,3,5,cellular response to interferon-gamma (GO:0071346),9.30946828983265e-06,759.4859390311543
immune,3,5,response to interferon-gamma (GO:0034341),2.424497172813372e-05,845.9577517588745
immune,3,5,interferon-gamma-mediated signaling pathway (GO:0060333),0.0004260500804126972,606.4443550253031
immune,3,5,cellular response to cytokine stimulus (GO:0071345),0.0005804107245664228,150.85156340421565
immune,3,5,positive regulation of natural killer cell chemotaxis (GO:2000503),0.0017698260238169,5105.230681141124
immune,0,6,histidine catabolic process (GO:0006548),0.0079030902960897,2308.188874209161
immune,0,6,histidine metabolic process (GO:0006547),0.0079030902960897,2308.188874209161
immune,0,6,nucleoside metabolic process (GO:0009116),0.0084518401998074,1646.7365311362207
immune,0,7,regulation of necrotic cell death (GO:0010939),0.0227311784546802,2851.750942795132
immune,0,7,regulation of myeloid leukocyte mediated immunity (GO:0002886),0.0244654044158323,1432.0496756090347
immune,0,7,negative regulation of viral process (GO:0048525),0.0244654044158323,289.3731719294946
immune,0,7,regulation of chromatin organization (GO:1902275),0.0244654044158323,1014.3901741044946
immune,0,7,regulation of programmed necrotic cell death (GO:0062098),0.0406374459463562,618.2139479571657
immune,1,7,"wound healing, spreading of epidermal cells (GO:0035313)",0.0233761904543344,2308.188874209161
immune,3,7,purine-containing compound metabolic process (GO:0072521),0.0150025777800889,2851.750942795132
immune,3,7,positive regulation of immune response (GO:0050778),0.0315454087465008,262.9199107042494
immune,0,8,regulation of ERK1 and ERK2 cascade (GO:0070372),0.010092643233878,179.1412792781032
immune,0,8,regulation of cell adhesion (GO:0030155),0.010092643233878,236.94607925367347
immune,0,8,positive regulation of chemokine (C-X-C motif) ligand 2 production (GO:2000343),0.010092643233878,2851.750942795132
immune,0,8,regulation of chemokine (C-X-C motif) ligand 2 production (GO:2000341),0.0224612323955615,1126.5206724787724
immune,0,8,positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068),0.0224612323955615,253.4583103840349
immune,1,8,negative regulation of heterotypic cell-cell adhesion (GO:0034115),0.0164179424570972,1646.7365311362207
immune,1,8,regulation of cell-cell adhesion involved in gastrulation (GO:0070587),0.0164179424570972,1646.7365311362207
immune,1,8,negative regulation of supramolecular fiber organization (GO:1902904),0.0190826060155269,278.2746781911583
immune,1,8,negative regulation of microtubule depolymerization (GO:0007026),0.0301371267069065,578.2102706794014
immune,1,8,negative regulation of protein depolymerization (GO:1901880),0.0301371267069065,481.769182294251
immune,2,8,cytokine-mediated signaling pathway (GO:0019221),0.0127497930045435,100.12020995213103
immune,3,8,positive regulation of B cell activation (GO:0050871),0.0231937889345143,424.9016340261825
immune,0,9,regulation of immune response (GO:0050776),0.0022652284839592,271.9302767995196
immune,0,9,defense response to symbiont (GO:0140546),0.0052401857255131,261.81174206341683
immune,0,9,defense response to virus (GO:0051607),0.0052401857255131,236.94607925367347
immune,0,9,negative regulation of viral genome replication (GO:0045071),0.0060750805677493,414.1127253263179
immune,0,9,cellular response to type I interferon (GO:0071357),0.0060750805677493,320.66048420441507
immune,1,9,response to organic cyclic compound (GO:0014070),0.0297823889084659,358.15436396134345
immune,1,9,ceramide transport (GO:0035627),0.0297823889084659,1014.3901741044946
immune,1,9,regulation of secretion (GO:0051046),0.0297823889084659,920.7238662710552
immune,0,10,negative regulation of myeloid leukocyte mediated immunity (GO:0002887),0.0158941319053211,3684.499894523836
immune,0,10,negative regulation of leukocyte degranulation (GO:0043301),0.0190197747986401,1927.3444106230904
immune,0,10,negative regulation of protein processing (GO:0010955),0.0367767378187874,920.7238662710552
immune,2,10,positive regulation of muscle contraction (GO:0045933),0.0166860600994204,2308.188874209161
immune,2,10,positive regulation of smooth muscle contraction (GO:0045987),0.0166860600994204,1927.3444106230904
immune,2,10,cardiocyte differentiation (GO:0035051),0.020337159687505,1262.919124249693
immune,2,10,regulation of angiogenesis (GO:0045765),0.0246248542616319,128.074529077769
immune,2,10,regulation of smooth muscle contraction (GO:0006940),0.0348669286219736,618.2139479571657
immune,3,10,regulation of pinocytosis (GO:0048548),0.0347723490183727,1927.3444106230904
immune,1,11,regulation of interleukin-10 production (GO:0032653),0.0214043676860863,486.9077836706825
immune,1,11,cellular response to type I interferon (GO:0071357),0.0214043676860863,320.66048420441507
immune,1,11,type I interferon signaling pathway (GO:0060337),0.0214043676860863,320.66048420441507
immune,1,11,cytokine-mediated signaling pathway (GO:0019221),0.0353144804216266,64.5118758576405
immune,1,11,positive regulation of defense response (GO:0031349),0.0377864764420026,180.69978250436736
immune,3,11,cellular response to lipopolysaccharide (GO:0071222),0.0005675060002118654,480.5531341359036
immune,3,11,purinergic nucleotide receptor signaling pathway (GO:0035590),0.0012487719584489,1531.499217211056
