dataset,head_idx,basis_idx,GO_term,Adjusted_P_value,Combined_Score
lungatlas,0,0,T cell differentiation (GO:0030217),0.0144941639589886,604.5978075814852
lungatlas,0,0,negative regulation of apoptotic process (GO:0043066),0.0165562341566275,97.12672449628216
lungatlas,0,0,negative regulation of programmed cell death (GO:0043069),0.0363792420733837,87.07895862178393
lungatlas,0,0,regulation of tissue remodeling (GO:0034103),0.0377115498382185,618.2139479571657
lungatlas,0,0,myeloid cell development (GO:0061515),0.0377115498382185,618.2139479571657
lungatlas,3,0,response to cytokine (GO:0034097),0.0218271962736289,199.3870414530625
lungatlas,0,1,regulation of lymphocyte activation (GO:0051249),0.00029155881767227405,2495.0384600602
lungatlas,0,1,regulation of B cell differentiation (GO:0045577),0.0288525866219129,714.6879621205851
lungatlas,0,1,regulation of lymphocyte differentiation (GO:0045619),0.0288525866219129,618.2139479571657
lungatlas,0,1,cellular zinc ion homeostasis (GO:0006882),0.03272234593753,390.5418048109173
lungatlas,0,1,regulation of B cell activation (GO:0050864),0.03272234593753,390.5418048109173
lungatlas,1,1,positive regulation of T-helper 2 cell cytokine production (GO:2000553),0.013775968632852,2308.188874209161
lungatlas,1,1,regulation of T-helper 2 cell cytokine production (GO:2000551),0.013775968632852,1432.0496756090347
lungatlas,1,1,positive regulation of ERK1 and ERK2 cascade (GO:0070374),0.013775968632852,163.4782568517394
lungatlas,1,1,positive regulation of type 2 immune response (GO:0002830),0.0166364750027659,1014.3901741044946
lungatlas,1,1,positive regulation of neutrophil chemotaxis (GO:0090023),0.0186299568808867,663.3671793000248
lungatlas,2,1,dopamine transport (GO:0015872),0.0058137675741349,2851.750942795132
lungatlas,2,1,monoamine transport (GO:0015844),0.0058137675741349,2308.188874209161
lungatlas,3,1,striated muscle hypertrophy (GO:0014897),0.0086600912823052,3684.499894523836
lungatlas,3,1,cardiac muscle hypertrophy (GO:0003300),0.0086600912823052,2308.188874209161
lungatlas,3,1,response to muscle stretch (GO:0035994),0.0208560396367908,920.7238662710552
lungatlas,3,1,DNA replication checkpoint signaling (GO:0000076),0.0208560396367908,773.4756743774749
lungatlas,1,2,monocyte differentiation (GO:0030224),0.0373702224305117,1432.0496756090347
lungatlas,1,2,myeloid leukocyte differentiation (GO:0002573),0.0373702224305117,283.7322904048699
lungatlas,2,2,regulation of immune response (GO:0050776),0.0252718348359568,154.20949207670594
lungatlas,2,2,lymphocyte mediated immunity (GO:0002449),0.0252718348359568,1126.5206724787724
lungatlas,2,2,natural killer cell mediated immunity (GO:0002228),0.0407729040995107,618.2139479571657
lungatlas,2,3,positive regulation of cell-cell adhesion mediated by integrin (GO:0033634),0.011865675153343,3684.499894523836
